anio,codigo_depto,nombre_depto,nombre_muni,codigo_muni,codigo_evento,edad,sexo,num_casos,porcentaje_event
289,289,289,289,289,289,289,289,289,0.06219949465600882
348,348,348,348,348,348,348,348,348,0.0748976613850902
14389,14389,14389,14389,14389,14389,14389,14389,14389,3.09684611974156
14563,14563,14563,14563,14563,14563,14563,14563,14563,3.134294950434105
4317,4317,4317,4317,4317,4317,4317,4317,4317,0.9291184028719378
5751,5751,5751,5751,5751,5751,5751,5751,5751,1.2377484213380854
349,349,349,349,349,349,349,349,349,0.07511288454998988
4191,4191,4191,4191,4191,4191,4191,4191,4191,0.9020002840945778
9224,9224,9224,9224,9224,9224,9224,9224,9224,1.9852184730346896
7041,7041,7041,7041,7041,7041,7041,7041,7041,1.5153863040586784
491,491,491,491,491,491,491,491,491,0.10567457396574507
2204,2204,2204,2204,2204,2204,2204,2204,2204,0.4743518554389046
797,797,797,797,797,797,797,797,797,0.17153286242504853
6975,6975,6975,6975,6975,6975,6975,6975,6975,1.5011815751752993
15096,15096,15096,15096,15096,15096,15096,15096,15096,3.2490088973256372
1804,1804,1804,1804,1804,1804,1804,1804,1804,0.3882625894790308
12041,12041,12041,12041,12041,12041,12041,12041,12041,2.5915021285571007
18548,18548,18548,18548,18548,18548,18548,18548,18548,3.9919592625593476
3415,3415,3415,3415,3415,3415,3415,3415,3415,0.7349871081324225
163,163,163,163,163,163,163,163,163,0.03508137587864857
10340,10340,10340,10340,10340,10340,10340,10340,10340,2.2254075250627374
5528,5528,5528,5528,5528,5528,5528,5528,5528,1.189753655565456
22801,22801,22801,22801,22801,22801,22801,22801,22801,4.907303382877705
16326,16326,16326,16326,16326,16326,16326,16326,16326,3.513733390152249
3179,3179,3179,3179,3179,3179,3179,3179,3179,0.684194441216097
31684,31684,31684,31684,31684,31684,31684,31684,31684,6.819130756681603
13084,13084,13084,13084,13084,13084,13084,13084,13084,2.8159798895474717
811,811,811,811,811,811,811,811,811,0.1745459867336441
7598,7598,7598,7598,7598,7598,7598,7598,7598,1.6352656069078029
589,589,589,589,589,589,589,589,589,0.12676644412591415
1377,1377,1377,1377,1377,1377,1377,1377,1377,0.29636229806686554
707,707,707,707,707,707,707,707,707,0.15216277758407692
654,654,654,654,654,654,654,654,654,0.14075594984439366
1130,1130,1130,1130,1130,1130,1130,1130,1130,0.24320217633664346
241,241,241,241,241,241,241,241,241,0.05186878274082396
17642,17642,17642,17642,17642,17642,17642,17642,17642,3.796967075160234
8387,8387,8387,8387,8387,8387,8387,8387,8387,1.8050766840136536
679,679,679,679,679,679,679,679,679,0.14613652896688575
7067,7067,7067,7067,7067,7067,7067,7067,7067,1.5209821063460702
7936,7936,7936,7936,7936,7936,7936,7936,7936,1.708011036643896
1748,1748,1748,1748,1748,1748,1748,1748,1748,0.37621009224464846
2921,2921,2921,2921,2921,2921,2921,2921,2921,0.6286668646719784
303,303,303,303,303,303,303,303,303,0.06521261896460441
7622,7622,7622,7622,7622,7622,7622,7622,7622,1.640430962865395
7271,7271,7271,7271,7271,7271,7271,7271,7271,1.5648876319856058
8147,8147,8147,8147,8147,8147,8147,8147,8147,1.7534231244377294
2765,2765,2765,2765,2765,2765,2765,2765,2765,0.5950920509476275
346,346,346,346,346,346,346,346,346,0.07446721505529083
7283,7283,7283,7283,7283,7283,7283,7283,7283,1.567470309964402
124,124,124,124,124,124,124,124,124,0.026687672447560876
13496,13496,13496,13496,13496,13496,13496,13496,13496,2.9046518334861418
13896,13896,13896,13896,13896,13896,13896,13896,13896,2.9907410994460157
6844,6844,6844,6844,6844,6844,6844,6844,6844,1.4729873405734406
956,956,956,956,956,956,956,956,956,0.2057533456440984
2311,2311,2311,2311,2311,2311,2311,2311,2311,0.49738073408317085
4579,4579,4579,4579,4579,4579,4579,4579,4579,0.9855068720756553
12897,12897,12897,12897,12897,12897,12897,12897,12897,2.775733157711231
9621,9621,9621,9621,9621,9621,9621,9621,9621,2.0706620694998645
5385,5385,5385,5385,5385,5385,5385,5385,5385,1.1589767429848008
5772,5772,5772,5772,5772,5772,5772,5772,5772,1.2422681078009787
6110,6110,6110,6110,6110,6110,6110,6110,6110,1.3150135375370722
10303,10303,10303,10303,10303,10303,10303,10303,10303,2.217444267961449
4704,4704,4704,4704,4704,4704,4704,4704,4704,1.0124097676881156
1390,1390,1390,1390,1390,1390,1390,1390,1390,0.2991601992105614
3880,3880,3880,3880,3880,3880,3880,3880,3880,0.8350658798107757
5678,5678,5678,5678,5678,5678,5678,5678,5678,1.2220371303004085
2359,2359,2359,2359,2359,2359,2359,2359,2359,0.5077114459983557
5578,5578,5578,5578,5578,5578,5578,5578,5578,1.20051481381044
6367,6367,6367,6367,6367,6367,6367,6367,6367,1.3703258909162912
12187,12187,12187,12187,12187,12187,12187,12187,12187,2.622924710632455
4545,4545,4545,4545,4545,4545,4545,4545,4545,0.978189284469066
7490,7490,7490,7490,7490,7490,7490,7490,7490,1.6120215050986368
