anio,codigo_depto,nombre_muni,codigo_muni,codigo_evento,evento,edad,sexo,num_casos,porcentaje_reg
1135,1135,1135,1135,1135,1135,1135,1135,1135,0.24427829216114189
62588,62588,62588,62588,62588,62588,62588,62588,62588,13.470387444741453
3833,3833,3833,3833,3833,3833,3833,3833,3833,0.8249503910604906
963,963,963,963,963,963,963,963,963,0.20725990779839615
14574,14574,14574,14574,14574,14574,14574,14574,14574,3.1366624052480017
4179,4179,4179,4179,4179,4179,4179,4179,4179,0.8994176061157815
17426,17426,17426,17426,17426,17426,17426,17426,17426,3.750478871541902
28532,28532,28532,28532,28532,28532,28532,28532,28532,6.140747340917797
15333,15333,15333,15333,15333,15333,15333,15333,15333,3.3000167874068618
6311,6311,6311,6311,6311,6311,6311,6311,6311,1.3582733936819087
5625,5625,5625,5625,5625,5625,5625,5625,5625,1.2106303025607252
19101,19101,19101,19101,19101,19101,19101,19101,19101,4.110977672748873
12457,12457,12457,12457,12457,12457,12457,12457,12457,2.6810349651553698
6050,6050,6050,6050,6050,6050,6050,6050,6050,1.3021001476430911
42334,42334,42334,42334,42334,42334,42334,42334,42334,9.111257462863243
17974,17974,17974,17974,17974,17974,17974,17974,17974,3.8684211659069287
1748,1748,1748,1748,1748,1748,1748,1748,1748,0.37621009224464846
619,619,619,619,619,619,619,619,619,0.1332231390729047
1383,1383,1383,1383,1383,1383,1383,1383,1383,0.29765363705626363
16501,16501,16501,16501,16501,16501,16501,16501,16501,3.5513974440096936
7149,7149,7149,7149,7149,7149,7149,7149,7149,1.5386304058678444
13494,13494,13494,13494,13494,13494,13494,13494,13494,2.9042213871563423
11521,11521,11521,11521,11521,11521,11521,11521,11521,2.479586082809265
22258,22258,22258,22258,22258,22258,22258,22258,22258,4.790437204337177
14552,14552,14552,14552,14552,14552,14552,14552,14552,3.1319274956202086
5067,5067,5067,5067,5067,5067,5067,5067,5067,1.0905357765467012
7564,7564,7564,7564,7564,7564,7564,7564,7564,1.6279480193012132
10257,10257,10257,10257,10257,10257,10257,10257,10257,2.2075440023760637
26344,26344,26344,26344,26344,26344,26344,26344,26344,5.669839056117288
10833,10833,10833,10833,10833,10833,10833,10833,10833,2.331512545358282
21935,21935,21935,21935,21935,21935,21935,21935,21935,4.720920122074579
33331,33331,33331,33331,33331,33331,33331,33331,33331,7.1736033092713845
639,639,639,639,639,639,639,639,639,0.1375276023708984
1024,1024,1024,1024,1024,1024,1024,1024,1024,0.2203885208572769
